wall_time,step,value
1759805651.11688,603,-175.5810089111328
1759805653.0865006,604,-178.2744598388672
1759805655.2464914,605,-179.0034942626953
1759805657.414794,606,-178.57669067382812
1759805659.2015247,607,-182.11573791503906
1759805660.1108174,608,-182.66871643066406
1759805662.2594807,609,-185.5090789794922
1759805663.197877,610,-185.9422149658203
1759805665.3619459,611,-185.44125366210938
1759805666.547032,612,-189.14169311523438
1759805667.369322,613,-186.40708923339844
1759805667.9499545,614,-187.52505493164062
1759805668.4764426,615,-183.4987030029297
1759805669.3955488,616,-184.83316040039062
1759805670.4923115,617,-186.7538299560547
1759805672.0935695,618,-187.81784057617188
1759805672.8205879,619,-186.8754119873047
1759805673.3734612,620,-186.51962280273438
1759805674.654041,621,-185.71722412109375
1759805676.4031582,622,-185.95913696289062
1759805679.5552793,623,-178.9910430908203
1759805681.7383733,624,-175.88137817382812
1759805683.9516737,625,-176.3434295654297
1759805684.7633603,626,-178.320556640625
1759805686.5660899,627,-179.02210998535156
1759805688.2438014,628,-180.77911376953125
1759805688.9256425,629,-179.79388427734375
1759805689.6160388,630,-181.6218719482422
1759805691.8245559,631,-184.7381591796875
1759805692.6273894,632,-186.5248565673828
1759805694.1998587,633,-188.75173950195312
1759805694.719874,634,-190.82025146484375
1759805696.7920942,635,-193.1779022216797
1759805697.4555218,636,-196.63259887695312
1759805699.6815028,637,-191.79641723632812
1759805701.8914196,638,-191.3702850341797
1759805704.1007824,639,-192.79339599609375
1759805705.0384212,640,-189.231689453125
1759805706.495523,641,-190.2157745361328
1759805707.193735,642,-185.8809051513672
1759805709.3983831,643,-186.07009887695312
1759805711.6112502,644,-185.1346893310547
1759805712.0503485,645,-183.07936096191406
1759805712.3847296,646,-181.54107666015625
1759805714.3821056,647,-182.6737518310547
1759805715.9997299,648,-183.77525329589844
1759805716.6875367,649,-182.07308959960938
1759805717.4236739,650,-183.43862915039062
1759805718.7627878,651,-182.37451171875
1759805720.972153,652,-182.74107360839844
1759805722.3095396,653,-182.612060546875
1759805724.3340387,654,-181.0391387939453
1759805725.8507817,655,-178.24066162109375
1759805727.8453712,656,-177.89718627929688
1759805729.4224474,657,-178.7963409423828
1759805731.6668608,658,-175.91696166992188
1759805732.3311355,659,-174.7570037841797
1759805733.5312161,660,-175.06858825683594
1759805735.2132273,661,-175.6109161376953
1759805736.4883919,662,-173.5789031982422
1759805737.3194778,663,-176.8195037841797
1759805739.1535316,664,-174.74029541015625
1759805739.6738923,665,-175.3992919921875
1759805740.155422,666,-171.8222198486328
1759805740.4999237,667,-169.16546630859375
1759805742.4533033,668,-167.61024475097656
1759805744.6960223,669,-165.16006469726562
1759805746.937512,670,-165.9677276611328
1759805747.22936,671,-162.41131591796875
1759805748.5682073,672,-161.6816864013672
1759805750.8182757,673,-162.33460998535156
1759805753.0670562,674,-164.02903747558594
1759805754.7237766,675,-163.1090850830078
1759805756.974421,676,-162.90660095214844
1759805759.2095985,677,-164.60501098632812
1759805761.1576414,678,-162.4125518798828
1759805762.8134842,679,-160.89007568359375
1759805764.1427946,680,-160.92115783691406
1759805764.4869506,681,-160.60748291015625
1759805765.2382195,682,-164.20530700683594
1759805766.3692577,683,-164.38816833496094
1759805767.5608044,684,-165.94973754882812
1759805769.6296887,685,-166.12171936035156
1759805770.6811824,686,-166.97059631347656
1759805772.7387044,687,-166.8614501953125
1759805774.7590675,688,-171.12908935546875
1759805776.7681293,689,-170.106689453125
1759805778.780643,690,-169.86509704589844
1759805779.4977288,691,-167.92745971679688
1759805780.2708933,692,-168.87713623046875
1759805782.2859302,693,-169.59852600097656
1759805783.0386214,694,-172.03759765625
1759805784.316608,695,-171.5880126953125
1759805786.3280041,696,-170.9991912841797
1759805787.0067718,697,-171.67323303222656
1759805787.4242263,698,-166.0787353515625
1759805789.2655568,699,-161.85281372070312
1759805789.8071535,700,-161.23190307617188
1759805790.9734032,701,-161.77674865722656
1759805791.2057188,702,-163.07054138183594
1759805792.9946368,703,-165.5531005859375
1759805795.0068252,704,-163.9293975830078
1759805796.0748127,705,-164.67849731445312
1759805796.5971804,706,-167.09658813476562
1759805796.924871,707,-164.85992431640625
